mth,lusa_band,current_to_30_roll_rate,30_to_60_roll_rate,60_to_90_roll_rate,90_to_120_roll_rate,120_to_150_roll_rate,150_to_180_roll_rate,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150
5,50,0.2,0.437647278,0.771203068,0.847440865,0.972531832,0.974166795,0.05311236,0.265561801,0.606794134,0.786814991,0.928460053,0.954683459
5,100,0.191412295,0.462938897,0.760764662,0.907643045,0.991397028,0.970692268,0.057705097,0.30147017,0.651209419,0.855993255,0.943094601,0.951278423
5,150,0.179219718,0.535345832,0.751915942,0.894969592,0.96425524,0.9791636,0.059740813,0.333338397,0.622659927,0.828097786,0.92528036,0.959580328
5,200,0.154253797,0.498530523,0.814339387,0.900232075,0.961776081,0.989649196,0.052585846,0.34090471,0.683819133,0.839722533,0.932784507,0.969856212
5,250,0.158028854,0.525201487,0.830602986,0.915709007,0.949207333,0.982999729,0.057723661,0.365272923,0.695491028,0.837332685,0.91440914,0.963339735
5,300,0.154751918,0.413098492,0.761744172,0.86968699,0.940137265,0.969711291,0.037837424,0.244503746,0.591877606,0.777003131,0.893428486,0.950317065
5,350,0.142550763,0.419574622,0.717932173,0.918760233,0.936913036,0.957569551,0.034686466,0.243327113,0.579937631,0.807788887,0.879216207,0.93841816
5,400,0.129378932,0.462534358,0.764460404,0.857151938,0.965299409,0.957563109,0.03552024,0.274544234,0.59356506,0.776449712,0.9058484,0.938411847
5,450,0.12017557,0.369098126,0.745716071,0.893116049,0.944204016,0.913160621,0.024961951,0.207712355,0.562756461,0.754652452,0.844965727,0.894897408
5,500,0.113164526,0.403826689,0.758727808,0.889338201,0.957554148,0.919154518,0.026597219,0.235031413,0.582010598,0.767087474,0.862537417,0.900771428
5,550,0.110320847,0.39510225,0.760089435,0.877198181,0.952876498,0.932095918,0.025296056,0.229295335,0.58034429,0.763521058,0.870408848,0.913454
5,600,0.094048185,0.399014526,0.763650805,0.893762752,0.951657081,0.97767051,0.023353677,0.248316081,0.622323412,0.814931914,0.911798922,0.9581171
5,650,0.083931804,0.379481825,0.707270206,0.845936585,0.955933679,0.954384355,0.01703797,0.202997786,0.534934146,0.756336322,0.894081584,0.935296668
5,700,0.071851863,0.334598824,0.67966404,0.914419657,0.886815954,0.922476898,0.011978912,0.166716786,0.498258731,0.733095621,0.801705886,0.90402736
5,750,0.063487355,0.354931828,0.716184235,0.889805957,0.939776902,0.975383329,0.012899664,0.203184784,0.572461437,0.799321472,0.898309869,0.955875663
5,800,0.051411138,0.336444726,0.716756394,0.904523834,0.935971209,0.966922743,0.009945872,0.193457538,0.575005411,0.802232692,0.886911612,0.947584288
5,850,0.042459762,0.308695966,0.682881256,0.904536284,0.944848421,0.961439548,0.007207587,0.169750999,0.549897043,0.805260122,0.890246346,0.942210757
5,900,0.035660896,0.28492129,0.571298819,0.854835113,0.973366441,0.987250308,0.004672965,0.13103892,0.459912699,0.805030019,0.941737192,0.967505302
5,950,0.023688676,0.237226464,0.562739515,0.868969539,0.940183373,0.973720742,0.002465409,0.104075418,0.438717571,0.779610386,0.89716653,0.954246327
6,0,0.2,0.574026079,0.77604552,0.954271277,0.890497161,0.888929988,0.065954866,0.329774328,0.574493634,0.740283423,0.775757838,0.871151389
6,50,0.2,0.520956427,0.67504161,0.917322898,0.982137447,0.984713795,0.061149448,0.30574724,0.586895995,0.869421953,0.947781806,0.965019519
6,100,0.194420435,0.465745498,0.818532693,0.961232514,0.981748998,0.948448811,0.065012295,0.334390236,0.717967725,0.87713995,0.912515897,0.929479835
6,150,0.151129606,0.39309255,0.83864868,0.882661752,0.872907438,0.982843469,0.036974079,0.244651462,0.622376236,0.742117946,0.840772747,0.9631866
6,200,0.134513732,0.479225994,0.774031102,0.927225431,0.902495972,0.982094303,0.040186046,0.298750508,0.623402136,0.805396752,0.868609429,0.962452417
6,250,0.137239671,0.430858048,0.768965005,0.895210852,0.957892694,0.973741182,0.037207652,0.271114408,0.629242993,0.818298609,0.914084773,0.954266359
6,300,0.159701196,0.437333004,0.689304382,0.915238741,0.949045913,0.959234403,0.039310078,0.246147672,0.562838089,0.816530554,0.89215034,0.940049715
6,350,0.115450832,0.395546401,0.752176756,0.894149432,0.954808452,0.960469208,0.027602619,0.239085494,0.604443609,0.803592512,0.898722835,0.941259824
6,400,0.111657714,0.444222527,0.700880927,0.866590069,0.964228665,0.896803962,0.025530005,0.228645238,0.514708786,0.73437408,0.847429605,0.878867883
6,450,0.115109313,0.428429764,0.706816422,0.914384771,0.931087592,0.983004036,0.028588912,0.248363154,0.579705648,0.820164373,0.896957604,0.963343955
6,500,0.107515254,0.414954396,0.709871958,0.903391951,0.931583112,0.940077086,0.024554882,0.228385095,0.550386011,0.775331389,0.858244739,0.921275544
